0.157	0.157	0.157	0.157	0.157	0.157	0.158	0.159	0.161	0.166
0.174	0.192	0.233	0.285	0.323	0.349	0.365	0.375	0.38	0.383
0.384	0.384	0.383	0.382	0.38	0.378	0.375	0.373	0.37	0.367
0.365	0.362	0.359	0.356	0.353	0.35	0.347	0.344	0.341	0.339
0.336	0.333	0.331	0.328	0.326	0.323	0.321	0.319	0.317	0.315
0.313	0.311	0.309	0.307	0.305	0.303	0.301	0.299	0.298	0.296
0.295	0.294	0.292	0.291	0.289	0.288	0.287	0.285	0.284	0.283
0.282	0.281	0.279	0.278	0.277	0.276	0.275	0.274	0.273	0.273
0.272	0.271	0.27	0.27	0.269	0.268	0.267	0.267	0.266	0.266
0.265	0.265	0.264	0.264	0.264	0.263	0.263	0.262	0.262	0.262
0.262	0.261	0.261	0.261	0.261	0.261	0.261	0.26	0.26	0.26
0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26	0.26
