1	0.99	0.981	0.971	0.962	0.953	0.943	0.934	0.925	0.916
0.907	0.898	0.889	0.881	0.872	0.863	0.855	0.846	0.838	0.829
0.821	0.813	0.805	0.797	0.788	0.78	0.773	0.765	0.757	0.749
0.742	0.734	0.726	0.719	0.711	0.704	0.687	0.69	0.682	0.675
0.668	0.661	0.654	0.647	0.64	0.633	0.627	0.62	0.614	0.607
0.6	0.594	0.588	0.581	0.575	0.568	0.562	0.556	0.55	0.544
0.538	0.532	0.526	0.52	0.514	0.509	0.503	0.498	0.492	0.486
0.481	0.475	0.47	0.465	0.459	0.454	0.449	0.444	0.439	0.434
0.429	0.424	0.419	0.414	0.409	0.404	0.399	0.395	0.39	0.385
0.381	0.376	0.372	0.367	0.363	0.358	0.354	0.349	0.345	0.341
0.336	0.332	0.327	0.323	0.319	0.314	0.31	0.306	0.302	0.297
0.293	0.289	0.285	0.281	0.277	0.273	0.268	0.264	0.26	0.257
0.253	0.249	0.245	0.241	0.238	0.234	0.23	0.227	0.224	0.22
0.217	0.213	0.21	0.207	0.204	0.201	0.197	0.194	0.191	0.189
0.186	0.183	0.18	0.177	0.175	0.172	0.169	0.167	0.164	0.162
0.159	0.157	0.154	0.152	0.15	0.147	0.145	0.143	0.141	0.138
0.136	0.134	0.132	0.13	0.128	0.126	0.124	0.122	0.121	0.119
0.117	0.115	0.113	0.112	0.11	0.108	0.106	0.105	0.103	0.102
0.1	0.0987	0.0972	0.0956	0.0942	0.0928	0.0914	0.09	0.0885	0.0872
0.0859	0.0846	0.0833	0.082	0.0808	0.0795	0.0783	0.0771	0.0759	0.0748
0.0736	0.0725	0.0714	0.0703	0.0692	0.0681	0.0671	0.0661	0.0651	0.0641
0.0631	0.0622	0.0612	0.0602	0.0593	0.0584	0.0575	0.0566	0.0558	0.0549
0.0541	0.0532	0.0524	0.0516	0.0508	0.05	0.0493	0.0485	0.0478	0.0471
0.0463	0.0456	0.0449	0.0442	0.0436	0.0429	0.0422	0.0416	0.041	0.0403
0.0397	0.0391	0.0384	0.0378	0.0373	0.0368	0.0362	0.0356	0.0351	0.0346
0.034	0.0335	0.033	0.0325	0.032	0.0315	0.031	0.0306	0.0301	0.0296
0.0292	0.0287	0.0283	0.0279	0.0275	0.027	0.0266	0.0262	0.0258	0.0254
0.025	0.0246	0.0242	0.0239	0.0235	0.0231	0.0228	0.0225	0.0221	0.0218
0.0214	0.0211	0.0208	0.0205	0.0201	0.0198	0.0195	0.0192	0.0189	0.0186
0.0184	0.0181	0.0178	0.0175	0.0173	0.017	0.0167	0.0165	0.0162	0.016
0.0157	0.0155	0.0153	0.015	0.0148	0.0146	0.0143	0.0141	0.0139	0.0137
0.0135	0.0133	0.0131	0.0129	0.0127	0.0125	0.0123	0.0121	0.0119	0.0117
